RESPONDENT_ID,PERSONA_ID,SUBSAMPLE,BLOCK_ID,TASK_ID,TASK_INDEX_WITHIN_SUBSAMPLE,TASK_IN_BLOCK,CHOICE,CHOSEN_ALTERNATIVE_ID,AGE,HHCAR,HHBIKE,PTPASS,MAAS,AV_BS,AV_CS,AV_ES,AV_CAR,AV_PT,AV_RP,AV_WALK,TIME_BS,TIME_ES,TIME_CAR,TIME_WALK,ACCESS_BS,ACCESS_ES,ACCESS_CAR,ACCESS_WALK,EGRESS_BS,EGRESS_ES,EGRESS_CAR,EGRESS_WALK,PARKING_BS,PARKING_ES,PARKING_CAR,PARKING_WALK,AVAILABILITY_BS,AVAILABILITY_ES,COST_BS,COST_ES,COST_CAR,RANGE_BS,RANGE_ES,FREEFLOAT_BS,FREEFLOAT_CS,FREEFLOAT_ES,FREEFLOAT_CAR,FREEFLOAT_PT,FREEFLOAT_RP,FREEFLOAT_WALK,HYBRID_BS,HYBRID_CS,HYBRID_ES,HYBRID_CAR,HYBRID_PT,HYBRID_RP,HYBRID_WALK,PEDELEC_BS,PEDELEC_CS,PEDELEC_ES,PEDELEC_CAR,PEDELEC_PT,PEDELEC_RP,PEDELEC_WALK,TIME_CS,TIME_RP,TIME_PT,ACCESS_CS,ACCESS_RP,ACCESS_PT,WAIT_ES,WAIT_BS,WAIT_WALK,WAIT_CAR,WAIT_CS,WAIT_RP,WAIT_PT,EGRESS_CS,EGRESS_RP,EGRESS_PT,DETOUR_ES,DETOUR_BS,DETOUR_WALK,DETOUR_CAR,DETOUR_CS,DETOUR_RP,DETOUR_PT,PARKING_CS,PARKING_RP,PARKING_PT,AVAILABILITY_WALK,AVAILABILITY_CAR,AVAILABILITY_CS,AVAILABILITY_RP,AVAILABILITY_PT,COST_WALK,COST_CS,COST_RP,COST_PT,RANGE_WALK,RANGE_CAR,RANGE_CS,RANGE_RP,RANGE_PT,CROWDING_ES,CROWDING_BS,CROWDING_WALK,CROWDING_CAR,CROWDING_CS,CROWDING_RP,CROWDING_PT,TRANSFER_ES,TRANSFER_BS,TRANSFER_WALK,TRANSFER_CAR,TRANSFER_CS,TRANSFER_RP,TRANSFER_PT
1,P0001,SD,5,SD_B05_T05,29,5,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,3.0,5.0,1.0,14.0,5.0,5.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,1.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,1.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P0001,SD,5,SD_B05_T04,28,4,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,21.0,16.0,8.0,44.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,8.0,0.0,10.0,100.0,4.0,3.7,1.8,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P0001,SD,5,SD_B05_T06,30,6,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,11.0,5.0,2.0,35.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P0001,SD,5,SD_B05_T02,26,2,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,5.0,13.0,5.5,27.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P0001,SD,5,SD_B05_T03,27,3,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,15.0,9.0,4.0,44.0,5.0,5.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,1.0,8.0,0.0,10.0,100.0,2.5,3.0,1.4,1.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,P0001,SD,5,SD_B05_T01,25,1,1,e_scooter,38,2,2,0,0,1,0,1,1,0,0,1,3.0,5.0,1.0,14.0,5.0,5.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,1.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,1.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,P0002,SD,2,SD_B02_T06,12,6,1,e_scooter,53,0,5,0,0,1,0,1,1,0,0,1,15.0,9.0,4.0,44.0,5.0,5.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,1.0,8.0,0.0,10.0,100.0,2.5,3.0,1.4,1.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,P0002,SD,2,SD_B02_T03,9,3,1,e_scooter,53,0,5,0,0,1,0,1,1,0,0,1,21.0,16.0,8.0,44.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,8.0,0.0,10.0,100.0,4.0,3.7,1.8,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,P0002,SD,2,SD_B02_T04,10,4,1,e_scooter,53,0,5,0,0,1,0,1,1,0,0,1,3.0,5.0,1.0,14.0,5.0,5.0,5.0,0.0,3.0,3.0,10.0,0.0,1.0,1.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,1.0,10.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,P0002,SD,2,SD_B02_T05,11,5,1,e_scooter,53,0,5,0,0,1,0,1,1,0,0,1,5.0,13.0,5.5,27.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,8.0,0.0,10.0,100.0,1.5,1.8,0.5,0.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
