parameter_name,estimate,paper_estimate,block,std_error,z_value
Acar,3.3488391927020142,3.02,attitude,2.119293498998314,1.5801677277285313
Aenv,3.298348538449014,3.23,attitude,1.0,3.298348538449014
theta_ncars,-0.026363607743918337,0.104,attitude,1.3840976404677594,-0.019047505734500557
theta_educ,0.3020748209619048,0.235,attitude,1.2065578051389265,0.25036083615332716
theta_nbikes,0.10000834643662708,0.0845,attitude,0.9938418190129252,0.10062803207049033
theta_age,0.009537635101683924,0.00445,attitude,0.6930183122213218,0.01376245754764124
theta_valais,-0.6523626046335843,-0.223,attitude,1.0,-0.6523626046335843
theta_bern,-0.7160807123210622,-0.361,attitude,2.8878553596250334,-0.24796280393144066
theta_basel_zurich,-0.31126607546150686,-0.256,attitude,1.7245789277553782,-0.18048815884967034
theta_east,-0.3327100442759899,-0.228,attitude,1.0,-0.3327100442759899
theta_graubunden,0.049049542861296494,-0.303,attitude,1.0,0.049049542861296494
